Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDI31,15.314,low fat,0.122138053,Soft Drinks,211.1734,OUT045,2002,,Tier 2,Supermarket Type1,750.7515
NCG22,12.697,Low Fat,0.004472865,Breads,64.4848,OUT019,1985,Small,Tier 1,Grocery Store,60.8396
NCH58,18.367,low fat,0,Snack Foods,178.7387,OUT045,2002,,Tier 2,Supermarket Type1,2045.1369
FDO07,5.386,Low Fat,0,Others,125.612,OUT027,1985,Medium,Tier 3,Supermarket Type3,1397.5593
DRC12,16.932,low fat,0,Health and Hygiene,88.8329,OUT049,1999,Medium,Tier 1,Supermarket Type1,380.4225
NCG57,4.935,LF,0,Breakfast,191.283,OUT046,1997,Small,Tier 1,Supermarket Type1,3285.8554
DRD26,13.442,reg,0.026904451,Hard Drinks,229.435,OUT049,1999,Medium,Tier 1,Supermarket Type1,4924.5062
FDP48,8.972,regular,0,Snack Foods,204.9536,OUT045,2002,,Tier 2,Supermarket Type1,1510.3156
FDV03,18.247,low fat,0.202937702,Baking Goods,245.7851,OUT049,1999,Medium,Tier 1,Supermarket Type1,831.2012
NCL48,9.571,Regular,0,Fruits and Vegetables,233.2872,OUT013,1987,High,Tier 3,Supermarket Type1,4848.091
FDW26,11.998,Low fat,0.152850379,Breakfast,230.6336,OUT017,2007,,Tier 2,Supermarket Type1,4009.9565
DRK32,,Regular,0.127622405,Dairy,230.4466,OUT049,1999,Medium,Tier 1,Supermarket Type1,1598.3563
FDW59,5.458,Regular,0.272982367,Meat,39.6416,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.2581
DRD39,15.267,Regular,0,Canned,108.2752,OUT018,2009,Medium,Tier 3,Supermarket Type2,2243.3567
NCB21,,Regular,0.060445215,Frozen Foods,102.7211,OUT017,2007,,Tier 2,Supermarket Type1,552.285
NCE54,18.168,Regular,0.149048608,Breads,252.3302,OUT010,1998,,Tier 3,Grocery Store,489.7406
FDL45,14.133,Regular,0,Frozen Foods,113.6852,OUT035,2004,Small,Tier 2,Supermarket Type1,1027.228
DRJ40,5.639,Low Fat,0.206604398,Household,84.1372,OUT013,1987,High,Tier 3,Supermarket Type1,1166.1405
FDS44,17.32,low fat,0,Household,223.603,OUT013,1987,High,Tier 3,Supermarket Type1,3944.4942
NCA60,15.134,Regular,0.050402503,Breads,213.4111,OUT049,1999,Medium,Tier 1,Supermarket Type1,4172.1164
NCB39,10.609,Low Fat,0.252599603,Meat,250.7303,OUT018,2009,Medium,Tier 3,Supermarket Type2,1231.7567
FDI37,,Regular,0,Meat,257.67,OUT018,2009,Medium,Tier 3,Supermarket Type2,2385.1256
FDG60,11.632,Regular,0.187134385,Fruits and Vegetables,61.3107,OUT049,1999,,Tier 1,Supermarket Type1,556.9044
FDN45,6.887,low fat,0.168216438,Breakfast,65.487,OUT013,1987,High,Tier 3,Supermarket Type1,1127.0598
FDV49,,Regular,0.173520787,Canned,50.411,OUT017,2007,,Tier 2,Supermarket Type1,756.9446
FDN07,13.475,reg,0,Breads,231.4989,OUT018,2009,Medium,Tier 3,Supermarket Type2,4530.0154
NCR52,,low fat,0.029609215,Canned,243.8747,OUT049,1999,,Tier 1,Supermarket Type1,1525.7061
DRE59,15.596,low fat,0.21781916,Baking Goods,67.4503,OUT049,1999,Medium,Tier 1,Supermarket Type1,202.8298
DRZ14,10.661,Regular,0.094780804,Breakfast,117.1676,OUT035,2004,Small,Tier 2,Supermarket Type1,1358.9786
FDX26,8.864,Low Fat,0.218584472,Breads,210.4453,OUT018,2009,Medium,Tier 3,Supermarket Type2,4051.2652
DRZ34,11.913,low fat,0.042572333,Seafood,108.3692,OUT018,2009,Medium,Tier 3,Supermarket Type2,880.9117
FDD60,10.055,Regular,0.263026957,Hard Drinks,149.43,OUT019,1985,Small,Tier 1,Grocery Store,497.4504
DRZ02,11.054,LF,0.031559612,Hard Drinks,149.3665,OUT046,1997,Small,Tier 1,Supermarket Type1,1953.0038
NCC18,10.503,Low Fat,0.129061221,Others,144.6706,OUT017,2007,,Tier 2,Supermarket Type1,895.7068
FDC07,19.258,Low fat,0,Fruits and Vegetables,67.9566,OUT019,1985,Small,Tier 1,Grocery Store,108.8247
DRC34,7.674,Low fat,0.131487865,Starchy Foods,153.2862,OUT045,2002,,Tier 2,Supermarket Type1,3268.0935
FDZ26,6.219,regular,0.156275535,Frozen Foods,83.0863,OUT049,1999,Medium,Tier 1,Supermarket Type1,319.3256
NCP03,5.694,regular,0.099979163,Canned,151.7966,OUT019,1985,Small,Tier 1,Grocery Store,937.739
NCK37,14.868,Regular,0.291791496,Dairy,198.1892,OUT018,2009,Medium,Tier 3,Supermarket Type2,2186.3352
FDR54,11.082,regular,0.145392019,Frozen Foods,78.6277,OUT010,1998,,Tier 3,Grocery Store,118.4659
FDW49,,Low Fat,0,Dairy,118.6972,OUT046,1997,Small,Tier 1,Supermarket Type1,2369.9828
FDR36,13.333,Regular,0.212386713,Breakfast,148.0468,OUT013,1987,,Tier 3,Supermarket Type1,2912.4977
NCH56,5.409,reg,0.150594502,Breakfast,253.5413,OUT017,2007,,Tier 2,Supermarket Type1,3710.392
NCF39,21.14,Regular,0,Breakfast,115.1865,OUT017,2007,,Tier 2,Supermarket Type1,2012.9983
FDX43,,low fat,0.06341859,Soft Drinks,202.5366,OUT018,2009,Medium,Tier 3,Supermarket Type2,2495.4508
FDC29,15.938,Regular,0.242127149,Breads,91.7001,OUT035,2004,Small,Tier 2,Supermarket Type1,1474.6504
NCE05,17.219,Low fat,0.06113037,Soft Drinks,72.9746,OUT027,1985,Medium,Tier 3,Supermarket Type3,1591.9451
NCM34,14.167,regular,0.005652139,Household,213.2954,OUT045,2002,,Tier 2,Supermarket Type1,1949.6123
FDO51,13.965,low fat,0.041798521,Starchy Foods,126.4145,OUT017,2007,,Tier 2,Supermarket Type1,341.5515
NCG47,20.056,Regular,0,Others,220.2121,OUT046,1997,Small,Tier 1,Supermarket Type1,2536.9712
DRD09,5.511,regular,0.107639027,Canned,159.728,OUT049,1999,Medium,Tier 1,Supermarket Type1,3272.1503
FDL27,21.275,Regular,0.105611355,Household,221.1055,OUT046,1997,Small,Tier 1,Supermarket Type1,1634.8527
NCB07,,Regular,0,Canned,156.7344,OUT017,2007,,Tier 2,Supermarket Type1,2815.0313
FDC10,,Regular,0.236900925,Dairy,233.4705,OUT046,1997,Small,Tier 1,Supermarket Type1,3835.6835
DRK07,15.031,reg,0.315508665,Others,256.0798,OUT017,2007,,Tier 2,Supermarket Type1,1071.7022
FDH26,13.778,reg,0.123122648,Starchy Foods,108.8769,OUT027,1985,Medium,Tier 3,Supermarket Type3,1383.4196
DRF21,12.203,LF,0,Breads,139.2238,OUT027,1985,Medium,Tier 3,Supermarket Type3,506.9834
FDI24,10.289,regular,0.136888559,Baking Goods,43.8466,OUT013,1987,High,Tier 3,Supermarket Type1,395.2286
FDX29,13.584,Regular,0.087337721,Frozen Foods,260.4155,OUT035,2004,,Tier 2,Supermarket Type1,3059.6214
DRD16,15.806,reg,0.09554163,Breads,77.3657,OUT045,2002,,Tier 2,Supermarket Type1,873.038
NCH42,6.652,low fat,0.052512211,Dairy,55.7786,OUT045,2002,,Tier 2,Supermarket Type1,904.8692
FDP11,,regular,0.312008369,Breakfast,122.1417,OUT018,2009,Medium,Tier 3,Supermarket Type2,2087.3691
NCK17,11.92,low fat,0.047224675,Frozen Foods,229.7612,OUT045,2002,,Tier 2,Supermarket Type1,3569.1937
DRF13,20.016,low fat,0.126222013,Hard Drinks,142.4086,OUT045,2002,,Tier 2,Supermarket Type1,466.2305
FDF44,13.18,low fat,0.178102819,Seafood,82.5719,OUT018,2009,Medium,Tier 3,Supermarket Type2,655.1037
NCF30,7.049,Low fat,0.325639082,Soft Drinks,114.5796,OUT010,1998,,Tier 3,Grocery Store,657.3735
FDV02,6.407,low fat,0,Breakfast,153.7229,OUT046,1997,Small,Tier 1,Supermarket Type1,2776.5346
DRK41,,Regular,0.047035357,Dairy,80.9213,OUT017,2007,,Tier 2,Supermarket Type1,1566.6265
FDL01,11.665,Regular,2.60591549,Canned,52.5113,OUT049,1999,Medium,Tier 1,Supermarket Type1,830.3793
DRK23,,reg,0.314021008,Health and Hygiene,217.3924,OUT045,2002,,Tier 2,Supermarket Type1,2750.4101
FDX21,5.683,regular,0,Frozen Foods,232.982,OUT035,2004,Small,Tier 2,Supermarket Type1,5086.1466
DRC35,15.551,reg,0.204297688,Hard Drinks,87.5159,OUT018,2009,Medium,Tier 3,Supermarket Type2,575.9237
DRZ33,12.162,low fat,0.220813351,Dairy,106.4525,OUT046,1997,Small,Tier 1,Supermarket Type1,379.2871
FDJ18,16.593,regular,0.06672474,Health and Hygiene,194.9073,OUT027,1985,Medium,Tier 3,Supermarket Type3,2616.2546
FDE58,18.406,LF,0.080413898,Soft Drinks,75.1518,OUT018,2009,,Tier 3,Supermarket Type2,567.5041
FDF53,10.52,low fat,0.034491642,Health and Hygiene,63.3079,OUT027,1985,Medium,Tier 3,Supermarket Type3,363.2605
FDF22,,Low fat,0,Breakfast,63.3294,OUT045,2002,,Tier 2,Supermarket Type1,868.7916
DRC60,8.527,low fat,0.052778463,Canned,193.9543,OUT010,1998,,Tier 3,Grocery Store,240.1375
FDS34,9.834,low fat,0.187995193,Starchy Foods,104.9676,OUT018,2009,,Tier 3,Supermarket Type2,2263.6545
DRA10,17.132,low fat,0,Breads,45.0968,OUT013,1987,High,Tier 3,Supermarket Type1,292.0174
FDX41,11.859,low fat,0.008409922,Fruits and Vegetables,112.1659,OUT013,1987,High,Tier 3,Supermarket Type1,1731.7875
FDG49,14.573,low fat,0,Baking Goods,54.3035,OUT010,1998,,Tier 3,Grocery Store,26.7631
FDD58,17.093,Regular,0.155886098,Breakfast,128.251,OUT035,2004,Small,Tier 2,Supermarket Type1,685.5828
DRZ28,,low fat,0.059458113,Breads,220.0837,OUT013,1987,High,Tier 3,Supermarket Type1,2770.1722
NCF33,,low fat,0.054056422,Baking Goods,253.7555,OUT027,1985,Medium,Tier 3,Supermarket Type3,1746.1436
NCJ31,14.034,LF,0,Others,188.4311,OUT027,1985,Medium,Tier 3,Supermarket Type3,2648.71
FDK32,11.534,Regular,0.05838073,Breakfast,2.3865,OUT027,1985,,Tier 3,Supermarket Type3,2482.6445
FDM10,7.857,Regular,0.099190528,Breakfast,74.4756,OUT027,1985,Medium,Tier 3,Supermarket Type3,1116.3836
DRC18,5.738,low fat,0.323982677,Meat,91.334,OUT017,2007,,Tier 2,Supermarket Type1,1943.7628
NCP23,17.858,Regular,0,Others,231.3701,OUT019,1985,Small,Tier 1,Grocery Store,1284.1245
NCG23,16.68,Regular,0,Breakfast,37.1087,OUT027,1985,Medium,Tier 3,Supermarket Type3,650.1969
FDS51,21.091,regular,0.039260148,Starchy Foods,109.2948,OUT045,2002,,Tier 2,Supermarket Type1,1252.8932
FDY55,14.541,LF,0.11255663,Seafood,132.8171,OUT013,1987,High,Tier 3,Supermarket Type1,972.969
NCP44,15.709,low fat,0.132683569,Starchy Foods,181.2205,OUT017,2007,,Tier 2,Supermarket Type1,754.7771
DRD20,19.979,Low Fat,0.016810423,Canned,177.4656,OUT017,2007,,Tier 2,Supermarket Type1,2374.267
NCD59,17.43,regular,0.277022369,Snack Foods,36.1872,OUT035,2004,Small,Tier 2,Supermarket Type1,529.4883
FDQ41,10.083,Regular,0.203748733,Household,227.7405,OUT046,1997,Small,Tier 1,Supermarket Type1,578.1164
FDK31,19.443,Regular,0.246522212,Frozen Foods,117.2582,OUT017,2007,,Tier 2,Supermarket Type1,1190.7637
FDT27,,Regular,0.298131502,Baking Goods,76.3456,OUT013,1987,High,Tier 3,Supermarket Type1,1501.1316
FDM16,9.411,low fat,0.090351461,Fruits and Vegetables,250.1482,OUT027,1985,Medium,Tier 3,Supermarket Type3,1493.1985
FDU57,16.525,low fat,0.166911066,Frozen Foods,94.0413,OUT010,1998,,Tier 3,Grocery Store,185.5643
FDJ29,21.18,Low Fat,0.085702529,Meat,228.8814,OUT035,2004,Small,Tier 2,Supermarket Type1,3687.7202
DRF15,20.744,Regular,0.228153381,Canned,55.3751,OUT018,2009,Medium,Tier 3,Supermarket Type2,895.7381
DRF43,18.457,low fat,0.298330651,Snack Foods,66.3109,OUT049,1999,Medium,Tier 1,Supermarket Type1,598.1518
DRD55,19.884,LF,0.303066472,Household,179.698,OUT017,2007,,Tier 2,Supermarket Type1,3056.956
NCJ17,14.668,Regular,0.164474871,Fruits and Vegetables,59.0147,OUT045,2002,,Tier 2,Supermarket Type1,995.2939
NCC27,7.239,Low Fat,0.148283152,Health and Hygiene,50.443,OUT045,2002,,Tier 2,Supermarket Type1,681.2584
FDJ38,,low fat,0,Others,47.8227,OUT017,2007,,Tier 2,Supermarket Type1,367.288
DRD06,8.652,Regular,0,Fruits and Vegetables,205.2588,OUT045,2002,,Tier 2,Supermarket Type1,3228.9234
FDH51,,regular,0,Household,52.1814,OUT045,2002,,Tier 2,Supermarket Type1,671.0235
FDY58,19.985,Regular,0.015538029,Seafood,142.4719,OUT017,2007,,Tier 2,Supermarket Type1,1807.9577
FDN10,14.63,Regular,0,Health and Hygiene,43.4041,OUT049,1999,Medium,Tier 1,Supermarket Type1,685.6929
FDG57,16.688,Regular,0.100524385,Fruits and Vegetables,220.4796,OUT027,1985,Medium,Tier 3,Supermarket Type3,2982.7648
NCI47,,Regular,0.139364628,Soft Drinks,155.5387,OUT049,1999,Medium,Tier 1,Supermarket Type1,2341.5162
FDM10,8.618,Regular,0.251090283,Seafood,69.5653,OUT049,1999,Medium,Tier 1,Supermarket Type1,245.4861
FDK46,16.361,Low fat,0.027254696,Breads,62.0976,OUT018,2009,Medium,Tier 3,Supermarket Type2,281.5768
FDZ28,10.6,LF,0.07935678,Starchy Foods,245.8508,OUT035,2004,Small,Tier 2,Supermarket Type1,3898.4841
DRF30,19.317,low fat,0,Starchy Foods,119.9342,OUT035,2004,Small,Tier 2,Supermarket Type1,428.8722
FDV26,4.728,reg,0.179409429,Baking Goods,97.5818,OUT045,2002,,Tier 2,Supermarket Type1,1650.8616
FDX31,,Low fat,0.10272133,Breakfast,229.063,OUT027,1985,Medium,Tier 3,Supermarket Type3,879.823
FDF42,13.816,regular,0,Canned,229.8868,OUT046,1997,Small,Tier 1,Supermarket Type1,2575.4166
FDO24,,low fat,0.281422851,Baking Goods,146.9299,OUT035,2004,Small,Tier 2,Supermarket Type1,1301.5599
FDC30,17.197,low fat,0.162946468,Breakfast,101.693,OUT013,1987,High,Tier 3,Supermarket Type1,2185.0584
FDU15,7.868,low fat,0,Canned,34.7593,OUT018,2009,Medium,Tier 3,Supermarket Type2,533.5962
NCX42,16.74,regular,0.20047135,Health and Hygiene,212.9836,OUT017,2007,,Tier 2,Supermarket Type1,1323.504
NCE12,12.644,low fat,0.236216879,Soft Drinks,112.5928,OUT018,2009,Medium,Tier 3,Supermarket Type2,485.7208
FDH30,8.009,regular,0.245762991,Dairy,184.2944,OUT027,1985,Medium,Tier 3,Supermarket Type3,2819.5157
DRI40,,Regular,0,Frozen Foods,222.5672,OUT018,2009,,Tier 3,Supermarket Type2,3861.0012
DRD35,,reg,0.302586777,Dairy,57.3801,OUT017,2007,,Tier 2,Supermarket Type1,743.098
FDC51,9.843,LF,0.141333197,Hard Drinks,178.5274,OUT019,1985,,Tier 1,Grocery Store,273.6124
FDG57,16.382,Regular,0.092154334,Seafood,183.224,OUT019,1985,Small,Tier 1,Grocery Store,551.7695
FDR36,19.981,Low Fat,0,Health and Hygiene,50.3096,OUT013,1987,High,Tier 3,Supermarket Type1,795.5096
FDW36,4.595,Regular,0.185269703,Canned,234.3015,OUT027,1985,Medium,Tier 3,Supermarket Type3,2594.7774
FDX58,,regular,0.085189912,Household,48.4808,OUT013,1987,High,Tier 3,Supermarket Type1,878.4245
FDG17,6.708,Regular,0.245516076,Dairy,45.5485,OUT018,2009,Medium,Tier 3,Supermarket Type2,538.0004
FDO09,17.926,Regular,0,Dairy,68.1198,OUT046,1997,Small,Tier 1,Supermarket Type1,566.2187
NCR07,7.355,reg,0,Starchy Foods,107.0737,OUT045,2002,,Tier 2,Supermarket Type1,766.5165
DRZ12,8.569,Low Fat,0.222711235,Baking Goods,150.7501,OUT035,2004,Small,Tier 2,Supermarket Type1,802.4981
NCK42,19.548,low fat,0.102943938,Breads,157.4909,OUT017,2007,,Tier 2,Supermarket Type1,3044.9248
NCH17,6.08,Regular,0.27632423,Hard Drinks,123.6788,OUT027,1985,Medium,Tier 3,Supermarket Type3,633.6653
DRI52,8.59,low fat,0.231831114,Meat,159.8107,OUT027,1985,Medium,Tier 3,Supermarket Type3,1470.1461
FDU25,11.581,regular,0.182665196,Canned,226.8018,OUT018,2009,Medium,Tier 3,Supermarket Type2,3957.7108
FDM49,20.746,low fat,0.20223534,Snack Foods,264.001,OUT049,1999,Medium,Tier 1,Supermarket Type1,2629.7739
DRH58,,low fat,0.271733573,Hard Drinks,212.3238,OUT046,1997,Small,Tier 1,Supermarket Type1,2423.0821
DRC19,5.966,low fat,0.117201757,Frozen Foods,174.9092,OUT049,1999,Medium,Tier 1,Supermarket Type1,1035.9713
FDV12,19.074,regular,0.142697123,Hard Drinks,117.3917,OUT027,1985,,Tier 3,Supermarket Type3,1858.1929
NCG25,16.545,Low Fat,0.324999617,Health and Hygiene,248.4404,OUT013,1987,High,Tier 3,Supermarket Type1,5254.7869
FDP39,13.926,reg,0.290999053,Canned,145.6334,OUT019,1985,Small,Tier 1,Grocery Store,376.1756
FDX29,6.4,reg,0.231490453,Breakfast,219.594,OUT017,2007,,Tier 2,Supermarket Type1,4367.0292
DRH15,21.13,LF,0,Canned,171.4359,OUT035,2004,Small,Tier 2,Supermarket Type1,1873.9614
NCC41,13.538,regular,0,Dairy,59.2318,OUT049,1999,Medium,Tier 1,Supermarket Type1,207.0955
NCR28,9.555,low fat,0.298267197,Canned,138.2615,OUT019,1985,Small,Tier 1,Grocery Store,142.1579
FDV31,13.18,Regular,0,Fruits and Vegetables,146.1631,OUT017,2007,,Tier 2,Supermarket Type1,800.5817
NCX49,7.407,low fat,0.127939363,Health and Hygiene,138.3188,OUT035,2004,Small,Tier 2,Supermarket Type1,1685.7702
FDJ59,,low fat,0.105256225,Household,56.6767,OUT049,1999,Medium,Tier 1,Supermarket Type1,1041.0882
FDZ47,6.682,Low Fat,0.294366134,Breads,105.3797,OUT017,2007,,Tier 2,Supermarket Type1,1298.2546
FDE22,,LF,0.126254611,Canned,82.6364,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.0288
FDH13,18.541,LF,0.173868803,Dairy,32.6773,OUT019,1985,Small,Tier 1,Grocery Store,36.3147
FDT24,17.915,Regular,0.071274875,Household,61.3162,OUT013,1987,High,Tier 3,Supermarket Type1,276.1973
NCK02,8.297,Low fat,0.035520326,Dairy,48.8303,OUT027,1985,Medium,Tier 3,Supermarket Type3,882.3857
NCG54,6.329,low fat,0,Canned,156.8718,OUT049,1999,Medium,Tier 1,Supermarket Type1,723.8966
FDA47,,reg,0.295765134,Dairy,235.3125,OUT049,1999,Medium,Tier 1,Supermarket Type1,2644.5732
FDC04,18.195,Regular,0,Meat,170.432,OUT017,2007,,Tier 2,Supermarket Type1,890.5983
NCJ45,18.157,Regular,0,Breads,92.708,OUT018,2009,Medium,Tier 3,Supermarket Type2,1262.5755
NCL38,20.072,Regular,0.323622883,Seafood,209.0374,OUT049,1999,Medium,Tier 1,Supermarket Type1,4480.5024
NCC35,12.775,reg,0.224252822,Hard Drinks,178.1862,OUT049,1999,Medium,Tier 1,Supermarket Type1,3442.1532
NCM43,6.035,Regular,0.044201963,Health and Hygiene,199.1562,OUT027,1985,Medium,Tier 3,Supermarket Type3,3063.1124
DRJ52,7.668,Regular,0,Breakfast,184.0665,OUT035,2004,Small,Tier 2,Supermarket Type1,2746.1632
NCX54,5.42,LF,0,Household,87.2185,OUT049,1999,Medium,Tier 1,Supermarket Type1,1763.1878
NCX02,18.363,regular,0,Hard Drinks,82.2041,OUT045,2002,,Tier 2,Supermarket Type1,1712.7731
NCP55,18.247,Regular,0.032717521,Soft Drinks,195.8737,OUT046,1997,Small,Tier 1,Supermarket Type1,2671.0736
NCC21,15.995,Regular,0.288157802,Household,117.6921,OUT013,1987,High,Tier 3,Supermarket Type1,392.1705
NCP44,13.803,Regular,0.069003347,Breads,129.433,OUT049,1999,Medium,Tier 1,Supermarket Type1,2495.2964
DRC23,13.114,LF,0.044919034,Starchy Foods,68.318,OUT045,2002,,Tier 2,Supermarket Type1,662.1021
FDN37,9.278,Low Fat,0.240397492,Soft Drinks,179.4247,OUT045,2002,,Tier 2,Supermarket Type1,1359.7925
NCM57,6.01,LF,0,Soft Drinks,71.5965,OUT045,2002,,Tier 2,Supermarket Type1,1515.4991
NCI22,19.375,Regular,0.30457988,Health and Hygiene,265.4255,OUT049,1999,Medium,Tier 1,Supermarket Type1,2613.8965
NCP18,10.43,Regular,0.149872006,Seafood,180.0443,OUT013,1987,High,Tier 3,Supermarket Type1,3370.0844
FDF15,21.35,Regular,0,Others,218.1104,OUT013,1987,High,Tier 3,Supermarket Type1,2862.3822
FDO20,11.629,regular,0.105556518,Breakfast,250.207,OUT019,1985,Small,Tier 1,Grocery Store,354.7899
FDA31,15.419,Regular,0,Breakfast,73.6807,OUT013,1987,High,Tier 3,Supermarket Type1,446.1081
FDQ12,,Regular,0.154996827,Starchy Foods,54.3972,OUT019,1985,Small,Tier 1,Grocery Store,176.8202
NCP51,13.385,regular,0.178982908,Soft Drinks,181.2588,OUT013,1987,High,Tier 3,Supermarket Type1,1586.4605
NCG19,15.58,Low Fat,0.133902537,Seafood,245.8225,OUT013,1987,High,Tier 3,Supermarket Type1,4601.0389
NCM01,9.115,Low fat,0.159641406,Seafood,213.8837,OUT013,1987,High,Tier 3,Supermarket Type1,3502.5126
NCK29,19.071,regular,0.154033768,Others,131.0712,OUT046,1997,Small,Tier 1,Supermarket Type1,2346.4054
FDO30,17.36,regular,0.325566559,Frozen Foods,259.628,OUT027,1985,Medium,Tier 3,Supermarket Type3,4689.9206
NCE31,11.633,reg,0.183076935,Baking Goods,250.9702,OUT035,2004,Small,Tier 2,Supermarket Type1,1779.4838
NCP45,11.673,regular,0.140840522,Household,233.942,OUT049,1999,Medium,Tier 1,Supermarket Type1,2339.8731
NCC21,13.297,Regular,0.032031081,Breads,84.4639,OUT013,1987,High,Tier 3,Supermarket Type1,270.1274
NCB05,15.241,reg,0.16314557,Starchy Foods,230.2171,OUT035,2004,Small,Tier 2,Supermarket Type1,1912.4599
FDB59,7.498,Regular,0,Fruits and Vegetables,188.8605,OUT049,1999,Medium,Tier 1,Supermarket Type1,1110.336
FDU11,,regular,0.183389552,Soft Drinks,193.2781,OUT017,2007,,Tier 2,Supermarket Type1,4150.9483
FDE38,17.549,Regular,0,Seafood,266.5177,OUT010,1998,,Tier 3,Grocery Store,829.408
FDD26,19.259,Regular,0.321402129,Meat,102.0447,OUT046,1997,Small,Tier 1,Supermarket Type1,258.0748
FDL42,8.552,Low Fat,0.182810536,Hard Drinks,72.1601,OUT049,1999,Medium,Tier 1,Supermarket Type1,1279.7759
FDM29,,Regular,0.042402234,Household,212.8945,OUT018,2009,Medium,Tier 3,Supermarket Type2,3366.8998
FDN14,,Regular,0.054413568,Canned,160.6186,OUT035,2004,Small,Tier 2,Supermarket Type1,431.0773
NCM16,12.35,low fat,0,Meat,152.9397,OUT027,1985,Medium,Tier 3,Supermarket Type3,1799.8131
FDP21,,regular,0.237947249,Snack Foods,97.2259,OUT046,1997,Small,Tier 1,Supermarket Type1,589.6563
FDI33,9.217,Regular,0.015233592,Breads,245.9103,OUT045,2002,,Tier 2,Supermarket Type1,3037.6859
FDH18,11.147,regular,0,Soft Drinks,85.9587,OUT010,1998,,Tier 3,Grocery Store,179.2234
FDI52,,LF,0.039813759,Hard Drinks,105.5513,OUT049,1999,Medium,Tier 1,Supermarket Type1,1544.4073
FDC19,,Regular,0,Dairy,143.6601,OUT017,2007,,Tier 2,Supermarket Type1,2112.6766
FDQ14,13.099,Regular,0,Health and Hygiene,156.0636,OUT017,2007,,Tier 2,Supermarket Type1,3169.0797
DRB58,6.721,Regular,0,Others,116.3052,OUT019,1985,Small,Tier 1,Grocery Store,239.1619
FDX48,16.132,Regular,0.127053405,Health and Hygiene,205.191,OUT045,2002,,Tier 2,Supermarket Type1,1281.633
FDA52,13.998,regular,0,Meat,88.8614,OUT046,1997,Small,Tier 1,Supermarket Type1,1069.2642
FDV54,11.388,reg,0,Others,101.1719,OUT018,2009,Medium,Tier 3,Supermarket Type2,2211.7811
NCX38,,Low fat,0.055948163,Frozen Foods,75.4402,OUT045,2002,,Tier 2,Supermarket Type1,1477.1912
FDY14,16.932,low fat,0.088887488,Seafood,80.1264,OUT018,2009,Medium,Tier 3,Supermarket Type2,769.6817
FDF27,18.198,Low Fat,0.125889035,Dairy,264.6915,OUT049,1999,Medium,Tier 1,Supermarket Type1,5103.7052
FDU32,6.929,Regular,0.139862005,Dairy,207.5293,OUT046,1997,Small,Tier 1,Supermarket Type1,4360.3233
NCK36,,Low Fat,2.543165578,Seafood,42.6728,OUT017,2007,,Tier 2,Supermarket Type1,835.1281
NCX29,12.495,regular,0.010346282,Dairy,103.1694,OUT017,2007,,Tier 2,Supermarket Type1,1614.6896
FDR59,,Regular,0.266300802,Household,213.4559,OUT027,1985,Medium,Tier 3,Supermarket Type3,3313.0848
NCH15,18.21,Regular,0.11378274,Others,166.1675,OUT046,1997,Small,Tier 1,Supermarket Type1,545.9201
FDL19,,Regular,0.212970681,Frozen Foods,205.0834,OUT035,2004,Small,Tier 2,Supermarket Type1,4425.5445
NCH10,5.163,low fat,0,Seafood,177.0894,OUT049,1999,Medium,Tier 1,Supermarket Type1,2196.8977
FDG48,11.85,Low fat,0,Breakfast,142.6439,OUT019,1985,,Tier 1,Grocery Store,472.9676
FDC15,11.985,low fat,0.082835316,Starchy Foods,110.7958,OUT013,1987,,Tier 3,Supermarket Type1,1320.6213
FDT37,19.935,Regular,0.074196456,Household,122.6939,OUT018,2009,Medium,Tier 3,Supermarket Type2,2626.2499
FDL44,14.82,regular,0.247495166,Meat,252.9977,OUT049,1999,Medium,Tier 1,Supermarket Type1,3298.288
NCG44,,Regular,0.178975003,Canned,111.229,OUT027,1985,Medium,Tier 3,Supermarket Type3,2148.6568
NCD35,10.37,Low Fat,0.049039365,Starchy Foods,192.501,OUT010,1998,,Tier 3,Grocery Store,498.552
FDP28,11.143,reg,0.134960613,Fruits and Vegetables,235.2441,OUT019,1985,Small,Tier 1,Grocery Store,223.2018
NCM03,18.283,Low Fat,0.292889242,Starchy Foods,254.9321,OUT013,1987,High,Tier 3,Supermarket Type1,5503.9146
FDF13,5.712,low fat,0.081207059,Snack Foods,101.2602,OUT017,2007,,Tier 2,Supermarket Type1,1524.7243
DRA32,14.139,Regular,0.013571044,Frozen Foods,203.233,OUT017,2007,,Tier 2,Supermarket Type1,1427.9692
FDT10,13.338,low fat,0.02240915,Seafood,61.4974,OUT049,1999,Medium,Tier 1,Supermarket Type1,1222.375
NCK12,,Regular,0,Starchy Foods,126.9372,OUT019,1985,Small,Tier 1,Grocery Store,618.2303
FDC42,6.822,Regular,0,Health and Hygiene,161.3402,OUT049,1999,Medium,Tier 1,Supermarket Type1,2198.784
DRK37,16.41,Regular,0.079649673,Frozen Foods,202.5257,OUT045,2002,,Tier 2,Supermarket Type1,1242.4776
FDS34,4.717,Regular,0.119595426,Starchy Foods,130.2981,OUT010,1998,,Tier 3,Grocery Store,670.4151
